unit,status,confirmed_blocker,required_clearance
P00,BLOCKED,"Cross-domain recurrence verifier starts from hard-coded eigenvalues or toy sequences and does not ship the underlying Markov operator, quantum superoperator, arithmetic data, empirical data, or proved intertwiners.","Supply component inputs and operators; regenerate every value from source; prove or narrow each cross-domain bridge."
P01,BLOCKED,"The finite theorem paper is the strongest developed unit, but claim-level citations, a theorem-dependency ledger, executable examples, counterexamples, and an independent proof audit are absent.","Attach citations to imported results; map every theorem to proof and dependency; add examples/counterexamples; obtain a field-specific proof review."
P02,BLOCKED,"The package omits numerical effects, raw and physicalized returned states, tomography provenance, covariance status, basis transform, 60 Kraus operators, numerical Choi matrices, and full spectra; its verifier begins from the final transition matrix.","Serialize the complete instrument and provenance; provide one command that regenerates every matrix, table, spectrum, figure, and receipt from supplied inputs."
P03,BLOCKED,"The paper cites 299 conformance tests and 17 isolated-process checks, but the package ships only a small subset and omits the full fixtures, six classes, two relations, 27-row ternary output, restart, and transport receipts.","Recover the complete test corpus and fixtures; pin the environment; reproduce all claimed objects in a clean-room run."
P04,BLOCKED,"Finite random-frame and sign-cycle checks do not reproduce the complete entropy ledger, regraining traces, physical reset model, or every theorem hypothesis.","Ship exhaustive fixtures and traces; state thermodynamic assumptions and units; map proofs to tests; attach claim-level citations."
P05,BLOCKED,"The verifier checks only a rotation generator, determinant scaling, and simple commutation; it does not validate the uniqueness assumptions, probability interpretation, full instruments, no-signalling route, continuum map, or alternative carriers.","Add an assumption ledger, countermodels, complete instrument examples, independence analysis, and foundations review; narrow all conditional claims."
P06,BLOCKED,"The finite 85-test archive is useful, but broad root, interlacing, and sign claims exceed what the package proves; the source bundle is not minimal and no certified root isolation is supplied.","Separate exact identities from finite evidence; provide certified root intervals or general proofs; create a minimal paper-specific reproduction package."
P07,BLOCKED,"The paper claims an exact quota-complex wedge and barcode result, but the verifier only selects shell values and does not construct the chain complex, matching, boundary matrices, homology, or persistent intervals.","Ship chain-complex, Morse matching, homology, barcode, and operator-ideal computations with proof certificates."
P08,BLOCKED,"Major analytic and RH-equivalence claims are compressed into proof sketches; the verifier only recomputes a finite Mertens table and does not reproduce the analytic implications.","Write complete implication-by-implication proofs with every hypothesis and citation; serialize finite audits; obtain independent analytic-number-theory review."
P09,BLOCKED,"The verifier counts finite CRT survivors and known twin primes but does not compute the signed moving-boundary dispersion, first-deletion path law, or martingale/Fourier objects that define the live boundary.","Ship exact decomposition code and data, signed sums, path laws, failed-route ledger, and specialist audit; retain technical-report status until the live estimate is proved."
P10,BLOCKED,"Raw environmental data are present, but the exact transformation from 9,357 nonblank rows to the reported transition corpus is absent; the other study's data, constructors, predictions, split IDs, uncertainty, and leakage checks are also absent.","Release the complete raw-to-result pipeline for both studies, frozen splits, row-level predictions, metrics, uncertainty, leakage controls, and a clean replay."
P11,BLOCKED,"Formal closure, conditional representation, and physical conversion are compressed together; generic random-matrix checks do not reproduce generated probes, continuum construction, tomography, or a held-out physical observable.","Split the layers; ship formal proof trees and actual data; retain unsupported physical conversion branches only as retired or open."
P12,BLOCKED,"The verifier checks a finite factorization statement and a dimension count, not the claimed topological-order, Wannier, bond-dimension, deformation-stability, or graded exact/structural/heuristic transfers.","Restore the full graded dictionary and exact hypotheses; add worked physical models; keep the reflexive invariant and non-exact transfers open."
P13,BLOCKED,"The verifier reads a three-row prediction table and multiplies by a sample count; it does not derive cross-sections, stopping profiles, optical thresholds, efficiencies, uncertainty bands, or the late-track fraction.","Ship physical constants, units, source tables, model equations, numerical integration, sensitivity and uncertainty analysis, plus a preregistered experiment."
P14,BLOCKED,"The script recomputes formulas after imposing Omega_Lambda=2/3; it does not establish the return condition from observations or perform a current likelihood, covariance propagation, priors, residual analysis, or model comparison.","Keep the exact conditional theorem separate; add current-data likelihood code, provenance, covariance, priors, residuals, model comparison, and falsification thresholds."
P15,BLOCKED,"The systems hypothesis reports toy values but has no complete generator, dataset, analysis code, preregistration, power calculation, ethics plan, or committed rival-model implementations.","Reclassify as a theory/protocol paper; supply the complete toy model and preregister interventions, endpoints, comparators, sample size, and data plan."
P16,BLOCKED,"The source package largely duplicates P03's finite transfer code and does not implement the recurrent/sparse backbone, routed modules, source graph, experiment planner, training objective, serving policy, or benchmark described.","Implement and benchmark the described architecture or rewrite the paper as a design specification; provide baselines, latency, compute, ablations, dependencies, and CI."
P17,BLOCKED,"The verifier proves 9 choose 2 equals 36, a chosen affine pairing, disjoint-plane commutation, and a finite reporter counterexample; it does not derive why d maps to 1-d modulo 10 is privileged, identify a measured quantum observable, validate the earlier nine-transformation correspondence, or justify 111 Hz.","Recast as a finite combinatorial and reporter theorem unless a physical realization is supplied; separate chosen structure from derived structure."
A00,ARCHIVE_ONLY,"The atlas summarizes the portfolio and repeats readiness statements invalidated by this audit; it is not an independent scholarly article.","Retain as corrected repository navigation and status map; remove individual article/preprint metadata and independent scientific claims."
