paper_id,claim,status,scope
P00,Recurrence exponent equals log spectral radius on the cyclic invariant subspace,THEOREM,finite-dimensional constant operator
P00,Positive recurrence exponent triggers bounded-state failure,THEOREM,declared cocycle and finite promotion cost
P01,Complete decks reconstruct finite source hierarchy,THEOREM,declared finite hierarchy
P01,Autonomous quotient iff complete response is fibre-constant,THEOREM,declared finite continuation
P02,First sharp local result makes singlet conditional state product,THEOREM,displayed even-cycle protocol
P02,Steady conditional entropy remains positive,THEOREM,displayed transition kernel
P02,Unital rank-one witness idles at m/d,THEOREM,irreducible sharp cycle
P02,KCBS minimum selective replacement cost 0.5037855260,THEOREM,declared feedback family
P02,Four marks are unique minimal predictive states,FINITE THEOREM,processed instrument matrix
P03,Essential coordinates form unique least direct basis,THEOREM,complete finite table
P03,Local transfer subset passes 22 tests,EXECUTABLE,supplied files
P04,SFI positive iff deterministic distinction gain positive,THEOREM,finite full-support frame
P04,Finite-memory dissipation bound,THEOREM,declared reset assumptions
P05,Minimal coherent carrier is complex one-dimensional,CONDITIONAL THEOREM,displayed coherence assumptions
P05,Equal-cell translation measure gives squared weight,THEOREM,two-dimensional carrier
P06,Reachable partition ranks are 1 modulo n-1,THEOREM,n-ary replacement
P06,General reduced real-rootedness and interlacing,COMPUTATIONAL CONJECTURE,audited finite range
P07,"Capacity barcode is [m,2m)",THEOREM,odd squarefree quota complex
P07,Orientation operator Hilbert-Schmidt iff Re(s)>1/2,THEOREM,squarefree carrier
P08,A_N/N tends to infinity,THEOREM,weighted Mertens energy
P08,Capacity-completion condition equivalent to RH,EQUIVALENCE THEOREM,frozen normalization
P08,Universal RH completion bound,OPEN,not proved
P09,Square-horizon survivor iff twin-prime pair,THEOREM,exact frontier
P09,Coupled signed dispersion implies infinitely many twins,CONDITIONAL THEOREM,live estimate open
P10,97.78 percent relation-aware result,SOURCE-REPORTED EMPIRICAL,static corpus
P10,Environmental raw audit,INDEPENDENT DATA AUDIT,supplied raw file
P11,Generated-probe completion is idempotent,THEOREM,closed probe algebra
P11,Physical conversion law,RETIRED/OPEN,no invariant held-out confirmation
P12,Reporter-boundary factorization biconditional,THEOREM,arbitrary reporter family
P13,Gas ladder,MODEL PREDICTION,experiment pending
P14,Omega_Lambda=2/3 branch values,CONDITIONAL EXACT RESULT,flat dust-vacuum plus returned-present postulate
P15,Functional architecture sufficient for subjective experience,OPEN EMPIRICAL HYPOTHESIS,not established
P16,Collision benchmark improves 6/12 to 12/12,EXECUTABLE,supplied benchmark
P17,"Nine active states induce exactly 36 unordered relation cells, decomposed as 8 unit, 4 return, and 24 transverse relations",PROVED,
P17,The affine map d -> 1-d mod 10 pairs the four prime indices with the four composite indices and has no fixed digit,PROVED,
P17,The side-forgetting reporter is a fixed report over a period-two source return and the side residual has chi=0,PROVED IN DECLARED RETURN DYNAMICS,
P17,The four prime labels and side labels are mathematical quantum numbers of commuting finite operators,PROVED AS FINITE SPECTRAL LABELLING,
P17,The static five-class Mobius reporter is closed under arbitrary prime multiplication,REFUTED,
P17;P08,The all-prime predictive quotient is finite prime support plus an absorbing repeated-prime state,PROVED,
P17,The structure selects 111 Hz as a universal physical constant or establishes physical quantum numbers,NOT CLAIMED,
